round_epochs,val_loss,val_accuracy,loss,accuracy,dropout,final_activation,loss_function,lr,num_Nodes,regularizer
221,0.15251438319683075,0.2693965435028076,0.15178197622299194,0.2750786,1,sigmoid,mean_squared_error,0.005,9,None
232,0.1615925431251526,0.2693965435028076,0.16111421585083008,0.2750786,1,sigmoid,mean_squared_error,0.005,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
210,0.15248329937458038,0.2693965435028076,0.1517288237810135,0.2750786,1,sigmoid,mean_squared_error,0.005,12,None
201,0.16147765517234802,0.2693965435028076,0.1609772890806198,0.2750786,1,sigmoid,mean_squared_error,0.005,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
218,0.15247392654418945,0.2693965435028076,0.15170612931251526,0.2750786,1,sigmoid,mean_squared_error,0.005,15,None
227,0.15974891185760498,0.2693965435028076,0.15922246873378754,0.2750786,1,sigmoid,mean_squared_error,0.005,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
235,0.15247242152690887,0.2693965435028076,0.15169277787208557,0.2750786,1,sigmoid,mean_squared_error,0.005,18,None
214,0.15936623513698578,0.2693965435028076,0.158823162317276,0.2750786,1,sigmoid,mean_squared_error,0.005,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
222,0.15247152745723724,0.2693965435028076,0.1516910195350647,0.2750786,1,sigmoid,mean_squared_error,0.005,21,None
227,0.15878789126873016,0.2693965435028076,0.15822549164295197,0.2750786,1,sigmoid,mean_squared_error,0.005,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
213,0.15247248113155365,0.2693965435028076,0.1516924798488617,0.2750786,1,sigmoid,mean_squared_error,0.01,9,None
222,0.15685464441776276,0.2693965435028076,0.15633998811244965,0.2750786,1,sigmoid,mean_squared_error,0.01,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
218,0.15247519314289093,0.2693965435028076,0.1516876369714737,0.2750786,1,sigmoid,mean_squared_error,0.01,12,None
219,0.15654034912586212,0.2693965435028076,0.15599659085273743,0.2750786,1,sigmoid,mean_squared_error,0.01,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
185,0.15247440338134766,0.2693965435028076,0.15168625116348267,0.2750786,1,sigmoid,mean_squared_error,0.01,15,None
217,0.15624061226844788,0.2693965435028076,0.155676007270813,0.2750786,1,sigmoid,mean_squared_error,0.01,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
183,0.15247578918933868,0.2693965435028076,0.15168477594852448,0.2750786,1,sigmoid,mean_squared_error,0.01,18,None
201,0.1564098745584488,0.2693965435028076,0.15583695471286774,0.2750786,1,sigmoid,mean_squared_error,0.01,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
174,0.15247592329978943,0.2693965435028076,0.1516840159893036,0.2750786,1,sigmoid,mean_squared_error,0.01,21,None
201,0.15619029104709625,0.2693965435028076,0.15560398995876312,0.2750786,1,sigmoid,mean_squared_error,0.01,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
167,0.15247291326522827,0.2693965435028076,0.15167680382728577,0.2750786,1,sigmoid,mean_squared_error,0.03,9,None
207,0.15307559072971344,0.2693965435028076,0.15242357552051544,0.2750786,1,sigmoid,mean_squared_error,0.03,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
930,0.14436577260494232,0.36889368295669556,0.141317218542099,0.39425236,1,sigmoid,mean_squared_error,0.03,12,None
205,0.15313152968883514,0.2693965435028076,0.15247607231140137,0.2750786,1,sigmoid,mean_squared_error,0.03,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
729,0.1446111649274826,0.37140804529190063,0.14122983813285828,0.39353392,1,sigmoid,mean_squared_error,0.03,15,None
204,0.15315444767475128,0.2693965435028076,0.15249569714069366,0.2750786,1,sigmoid,mean_squared_error,0.03,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
864,0.14466100931167603,0.3717672526836395,0.13960309326648712,0.41005838,1,sigmoid,mean_squared_error,0.03,18,None
201,0.15311835706233978,0.2693965435028076,0.15245261788368225,0.2750786,1,sigmoid,mean_squared_error,0.03,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
691,0.14513838291168213,0.36206895112991333,0.1403963565826416,0.39928153,1,sigmoid,mean_squared_error,0.03,21,None
204,0.15312768518924713,0.2693965435028076,0.15245585143566132,0.2750786,1,sigmoid,mean_squared_error,0.03,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
662,0.14468008279800415,0.36853447556495667,0.14142769575119019,0.39299506,1,sigmoid,mean_squared_error,0.06,9,None
